Suj;Explicaiblity;Satisfaction;Utilisability;Manip
8;Unguided;44.7917;56.5104;2
8;Unguided;81.25;77.3438;2
8;Guided;42.1875;57.8125;2
8;Unguided;56.5104;53.9063;2
8;Guided;44.7917;44.7917;2
8;Unguided;42.1875;55.2083;2
8;Guided;43.4896;43.4896;2
9;Guided;25.2604;69.5313;2
9;Unguided;56.5104;69.5313;2
9;Guided;44.7917;42.1875;2
9;Unguided;56.5104;55.2083;2
9;Guided;73.4375;66.9271;2
9;Unguided;87.7604;79.9479;2
9;Unguided;63.0208;43.4896;2
9;Guided;39.5833;59.1146;2
9;Unguided;52.6042;36.9792;2
9;Guided;57.8125;56.5104;2
9;Unguided;42.1875;53.9063;2
9;Guided;57.8125;65.625;2
11;Guided;61.7188;65.625;2
11;Unguided;76.0417;77.3438;2
11;Guided;70.8333;76.0417;2
11;Unguided;65.625;63.0208;2
11;Guided;64.3229;76.0417;2
11;Unguided;64.3229;65.625;2
11;Unguided;53.9063;57.8125;2
11;Guided;47.3958;50;2
11;Unguided;77.3438;79.9479;2
11;Guided;64.3229;63.0208;2
11;Unguided;55.2083;50;2
11;Guided;48.6979;50;2
12;Guided;29.1667;70.8333;2
12;Unguided;61.7188;72.1354;2
12;Guided;72.1354;50;2
12;Unguided;72.1354;29.1667;2
12;Guided;74.7396;73.4375;2
12;Unguided;72.1354;73.4375;2
12;Unguided;66.9271;72.1354;2
12;Guided;83.8542;81.25;2
12;Unguided;78.6458;78.6458;2
12;Guided;72.1354;81.25;2
12;Unguided;78.6458;78.6458;2
12;Guided;78.6458;78.6458;2
13;Guided;86.9792;87.7604;2
13;Unguided;90.3646;50;2
13;Guided;90.3646;94.2708;2
13;Unguided;86.4583;79.9479;2
13;Guided;87.7604;89.0625;2
13;Unguided;89.0625;87.7604;2
13;Guided;66.9271;61.7188;2
13;Unguided;78.6458;78.6458;2
13;Guided;72.1354;73.4375;2
13;Unguided;72.1354;74.7396;2
13;Guided;68.2292;64.3229;2
13;Unguided;85.1563;90.3646;2
14;Guided;76.0417;74.7396;2
14;Unguided;35.6771;39.5833;2
14;Guided;69.5313;89.0625;2
14;Unguided;89.0625;91.6667;2
14;Guided;36.9792;66.9271;2
14;Unguided;82.5521;94.2708;2
14;Unguided;31.7708;69.5313;2
14;Guided;61.7188;85.1563;2
14;Unguided;44.7917;61.7188;2
14;Guided;42.1875;63.0208;2
14;Unguided;42.1875;59.1146;2
14;Guided;30.4688;68.2292;2
15;Guided;36.9792;77.3438;2
