NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Temporal Binding;Decision Confidence
1;7;Forced;Hard;Correct;0.75;Guided;Correct;50;8
1;7;Free;Hard;Correct;1.25;Guided;Correct;250;8
1;7;Free;Easy;Correct;0.25;Guided;Correct;250;8
1;7;Forced;Medium;Correct;0.75;Guided;Correct;150;8
1;7;Free;Easy;Correct;0.25;Guided;Correct;550;8
1;7;Forced;Easy;Correct;0.25;Guided;Correct;650;8
1;7;Free;Medium;Correct;1.25;Guided;Correct;-350;8
1;7;Forced;Medium;Correct;0.25;Guided;Correct;50;8
1;7;Free;Easy;Correct;0.75;Guided;Correct;-450;8
1;7;Forced;Easy;Correct;1.25;Guided;Correct;-250;8
1;7;Forced;Hard;Correct;0.25;Guided;Correct;250;7
1;7;Free;Hard;Correct;0.25;Guided;Correct;650;8
1;7;Free;Hard;Correct;1.25;Guided;Correct;-450;8
1;7;Free;Easy;Correct;1.25;Guided;Correct;250;8
1;8;Free;Easy;Correct;0.75;Unguided;Correct;-50;8
1;8;Free;Easy;Correct;0.25;Unguided;Correct;50;8
1;8;Free;Easy;Correct;0.25;Unguided;Correct;50;8
1;8;Free;Hard;Error;1.25;Unguided;Correct;-550;8
1;8;Forced;Medium;Correct;0.25;Unguided;Correct;-50;8
1;8;Free;Medium;Correct;1.25;Unguided;Correct;-550;8
1;8;Forced;Easy;Correct;0.75;Unguided;Correct;50;8
1;8;Free;Medium;Correct;0.75;Unguided;Correct;149;6
1;8;Free;Hard;Correct;0.25;Unguided;Correct;550;5
1;8;Forced;Medium;Correct;1.25;Unguided;Correct;-350;8
1;8;Free;Hard;Correct;0.75;Unguided;Correct;450;3
1;8;Forced;Hard;Correct;1.25;Unguided;Correct;-250;4
1;8;Free;Hard;Correct;0.25;Unguided;Correct;350;8
1;8;Free;Hard;Error;1.25;Unguided;Correct;-450;4
1;8;Forced;Hard;Correct;0.75;Unguided;Correct;50;8
1;8;Forced;Hard;Correct;0.75;Unguided;Correct;-150;4
1;8;Free;Medium;Correct;0.25;Unguided;Correct;-50;8
1;8;Forced;Medium;Correct;0.75;Unguided;Correct;-150;8
1;8;Forced;Hard;Correct;1.25;Unguided;Correct;-350;8
1;8;Forced;Easy;Correct;0.75;Unguided;Correct;-550;8
1;8;Free;Easy;Correct;0.75;Unguided;Correct;-250;8
1;8;Free;Easy;Correct;1.25;Unguided;Correct;250;8
1;8;Forced;Medium;Correct;0.75;Unguided;Correct;50;8
1;8;Forced;Easy;Correct;1.25;Unguided;Correct;-350;8
1;8;Free;Medium;Error;0.25;Unguided;Correct;250;8
