NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;5;Forced;Medium;Error;1.25;Guided;Error;Used;50;4
1;5;Free;Easy;Correct;1.25;Guided;Correct;Used;-251;5
1;5;Forced;Medium;Correct;1.25;Guided;Correct;Used;250;5
1;5;Forced;Easy;Correct;1.25;Guided;Correct;Used;-248;5
1;5;Free;Easy;Correct;0.25;Guided;Correct;Used;1150;5
1;6;Forced;Easy;Correct;1.25;Unguided;Correct;Felt;249;5
1;6;Forced;Medium;Correct;0.25;Unguided;Correct;Felt;950;6
1;6;Forced;Easy;Correct;0.75;Unguided;Correct;Felt;372;6
1;6;Free;Easy;Correct;1.25;Unguided;Correct;Felt;50;6
1;6;Free;Easy;Correct;0.25;Unguided;Error;Felt;310;6
1;6;Forced;Hard;Error;1.25;Unguided;Error;Felt;50;6
1;6;Free;Hard;Correct;0.75;Unguided;Correct;Felt;450;7
1;6;Free;Medium;Correct;0.75;Unguided;Correct;Felt;750;6
1;6;Free;Medium;Correct;1.25;Unguided;Error;Felt;250;5
1;6;Free;Easy;Correct;0.25;Unguided;Correct;Felt;1250;6
1;6;Forced;Easy;Correct;0.25;Unguided;Correct;Felt;1250;5
1;6;Forced;Hard;Correct;0.25;Unguided;Correct;Felt;950;5
1;6;Free;Medium;Correct;1.25;Unguided;Correct;Felt;-250;6
1;6;Forced;Hard;Correct;0.75;Unguided;Correct;Felt;450;5
1;6;Forced;Hard;Correct;0.75;Unguided;Correct;Felt;550;6
1;6;Forced;Easy;Correct;1.25;Unguided;Correct;Felt;-550;6
1;6;Free;Hard;Correct;1.25;Unguided;Correct;Felt;-251;5
1;6;Free;Easy;Correct;0.75;Unguided;Error;Felt;450;6
1;6;Forced;Medium;Correct;0.75;Unguided;Correct;Felt;250;8
1;6;Forced;Easy;Correct;0.75;Unguided;Correct;Felt;250;8
1;6;Forced;Medium;Correct;0.75;Unguided;Correct;Felt;750;6
