NumSuj;Explicability;Difficulty;Level of Automation;Correct Rates (in %)
15;UnGuided;Hard;Free;38.8889
16;UnGuided;Hard;Free;86.1111
17;UnGuided;Hard;Free;52.7778
18;UnGuided;Hard;Free;66.6667
19;UnGuided;Hard;Free;47.2222
20;UnGuided;Hard;Free;77.7778
21;UnGuided;Hard;Free;69.4444
22;UnGuided;Hard;Free;63.8889
23;UnGuided;Hard;Free;75
24;UnGuided;Hard;Free;63.8889
25;UnGuided;Hard;Free;86.1111
26;UnGuided;Hard;Free;55.5556
27;UnGuided;Hard;Free;38.8889
28;UnGuided;Hard;Free;75
29;UnGuided;Hard;Free;80.5556
30;UnGuided;Hard;Free;75
31;UnGuided;Hard;Free;41.6667
32;UnGuided;Hard;Free;75
33;UnGuided;Hard;Free;61.1111
34;UnGuided;Hard;Free;63.8889
35;UnGuided;Hard;Free;61.1111
36;UnGuided;Hard;Free;72.2222
37;UnGuided;Hard;Free;77.7778
38;UnGuided;Hard;Free;66.6667
39;UnGuided;Hard;Free;80.5556
1;UnGuided;Easy;Forced;100
2;UnGuided;Easy;Forced;100
3;UnGuided;Easy;Forced;100
4;UnGuided;Easy;Forced;100
5;UnGuided;Easy;Forced;100
6;UnGuided;Easy;Forced;100
7;UnGuided;Easy;Forced;100
8;UnGuided;Easy;Forced;100
9;UnGuided;Easy;Forced;100
10;UnGuided;Easy;Forced;100
11;UnGuided;Easy;Forced;100
12;UnGuided;Easy;Forced;100
13;UnGuided;Easy;Forced;100
14;UnGuided;Easy;Forced;100
15;UnGuided;Easy;Forced;100
16;UnGuided;Easy;Forced;100
17;UnGuided;Easy;Forced;100
18;UnGuided;Easy;Forced;100
19;UnGuided;Easy;Forced;100
20;UnGuided;Easy;Forced;100
21;UnGuided;Easy;Forced;100
22;UnGuided;Easy;Forced;100
23;UnGuided;Easy;Forced;100
24;UnGuided;Easy;Forced;100
25;UnGuided;Easy;Forced;100
26;UnGuided;Easy;Forced;100
27;UnGuided;Easy;Forced;100
28;UnGuided;Easy;Forced;100
29;UnGuided;Easy;Forced;100
30;UnGuided;Easy;Forced;100
31;UnGuided;Easy;Forced;100
32;UnGuided;Easy;Forced;100
33;UnGuided;Easy;Forced;100
34;UnGuided;Easy;Forced;100
35;UnGuided;Easy;Forced;100
36;UnGuided;Easy;Forced;100
37;UnGuided;Easy;Forced;100
38;UnGuided;Easy;Forced;100
39;UnGuided;Easy;Forced;100
1;UnGuided;Medium;Forced;95
2;UnGuided;Medium;Forced;95
3;UnGuided;Medium;Forced;95
4;UnGuided;Medium;Forced;95
5;UnGuided;Medium;Forced;95
6;UnGuided;Medium;Forced;95
7;UnGuided;Medium;Forced;95
